FIPS,FIPSTEXT,y17_M110_valueText,y17_M110_classRange,y17_M110_valueNumeric,y17_M111_valueText,y17_M111_classRange,y17_M111_valueNumeric,y17_M112_valueText,y17_M112_classRange,y17_M112_valueNumeric,y17_M113_valueText,y17_M113_classRange,y17_M113_valueNumeric,y17_M114_valueText,y17_M114_classRange,y17_M114_valueNumeric,y17_M115_valueText,y17_M115_classRange,y17_M115_valueNumeric,y17_M116_valueText,y17_M116_classRange,y17_M116_valueNumeric,y17_M117_valueText,y17_M117_classRange,y17_M117_valueNumeric,y17_M118_valueText,y17_M118_classRange,y17_M118_valueNumeric,y17_M119_valueText,y17_M119_classRange,y17_M119_valueNumeric,y17_M120_valueText,y17_M120_classRange,y17_M120_valueNumeric,y17_M121_valueText,y17_M121_classRange,y17_M121_valueNumeric,y17_M122_valueText,y17_M122_classRange,y17_M122_valueNumeric
42027,42027,-0.47,Sparse Data,-0.47,19,10 - 24,19.00,15144,"10,000 - 24,999",15144.00,53.94,45 - 54,53.94,-0.28,Sparse Data,-0.28,1.03,Slight Increase,1.03,14117,"Less than 20,000",14117.00,-1.03,Sparse Data,-1.03,0.23,Sparse Data,0.23,699,500 - 999,699.00,(D),100 - 499,,496,100 - 499,496.00,2275,"2,000 or more",2275.00
42029,42029,1.12,Slight Increase,1.12,32,25 - 49,32.00,25002,"25,000 - 49,999",25002.00,52.64,45 - 54,52.64,1.04,Slight Increase,1.04,1.47,Slight Increase,1.47,23222,"20,000 - 49,999",23222.00,-0.63,Sparse Data,-0.63,-0.60,Negligible Change,-0.60,1390,"1,000 - 1,499",1390.00,445,100 - 499,445.00,705,500 - 999,705.00,7142,"2,000 or more",7142.00
42031,42031,-0.43,Sparse Data,-0.43,12,10 - 24,12.00,6230,"Less than 10,000",6230.00,49.78,45 - 54,49.78,-1.54,Sparse Data,-1.54,0.93,Sparse Data,0.93,8349,"Less than 20,000",8349.00,-0.60,Sparse Data,-0.60,-0.29,Sparse Data,-0.29,822,500 - 999,822.00,390,100 - 499,390.00,247,100 - 499,247.00,809,500 - 999,809.00
42033,42033,-1.20,Sparse Data,-1.20,8,Less than 10,8.00,2844,"Less than 10,000",2844.00,57.57,55 - 64,57.57,0.01,Sparse Data,0.01,0.62,Sparse Data,0.62,1568,"Less than 20,000",1568.00,(D),Sparse Data,,0.97,Negligible Change,0.97,140,100 - 499,140.00,(D),Less than 100,,(D),Less than 100,,558,500 - 999,558.00
42035,42035,-4.99,Significant Decrease,-4.99,33,25 - 49,33.00,4998,"Less than 10,000",4998.00,37.87,35 - 44,37.87,-2.56,Significant Decrease,-2.56,0.45,Sparse Data,0.45,10963,"Less than 20,000",10963.00,2.52,Sparse Data,2.52,-0.85,Sparse Data,-0.85,227,100 - 499,227.00,21,Less than 100,21.00,206,100 - 499,206.00,646,500 - 999,646.00
42037,42037,-3.01,Significant Decrease,-3.01,7,Less than 10,7.00,4071,"Less than 10,000",4071.00,52.39,45 - 54,52.39,-4.24,Significant Decrease,-4.24,0.69,Sparse Data,0.69,2701,"Less than 20,000",2701.00,-0.33,Sparse Data,-0.33,-0.09,Sparse Data,-0.09,991,500 - 999,991.00,99,Less than 100,99.00,851,500 - 999,851.00,1144,"1,000 - 1,499",1144.00
42039,42039,-0.63,Negligible Change,-0.63,17,10 - 24,17.00,17571,"10,000 - 24,999",17571.00,54.54,45 - 54,54.54,-0.54,Negligible Change,-0.54,0.58,Sparse Data,0.58,10952,"Less than 20,000",10952.00,0.07,Sparse Data,0.07,-0.25,Sparse Data,-0.25,1091,"1,000 - 1,499",1091.00,652,500 - 999,652.00,425,100 - 499,425.00,1956,"1,500 - 1,999",1956.00
42041,42041,-0.30,Negligible Change,-0.30,37,25 - 49,37.00,25370,"25,000 - 49,999",25370.00,39.98,35 - 44,39.98,0.15,Sparse Data,0.15,1.16,Slight Increase,1.16,34365,"20,000 - 49,999",34365.00,1.10,Sparse Data,1.10,0.31,Sparse Data,0.31,1393,"1,000 - 1,499",1393.00,391,100 - 499,391.00,963,500 - 999,963.00,1489,"1,000 - 1,499",1489.00
42043,42043,-0.62,Sparse Data,-0.62,19,10 - 24,19.00,6485,"Less than 10,000",6485.00,42.29,35 - 44,42.29,-1.55,Slight Decrease,-1.55,0.65,Sparse Data,0.65,7612,"Less than 20,000",7612.00,-1.11,Sparse Data,-1.11,-0.84,Negligible Change,-0.84,1451,"1,000 - 1,499",1451.00,(D),500 - 999,,823,500 - 999,823.00,1821,"1,500 - 1,999",1821.00
42045,42045,(D),Sparse Data,,(D),Less than 10,,(D),"Less than 10,000",,(D),35 - 44,,(D),Sparse Data,,(D),Sparse Data,,(D),"Less than 20,000",,(D),Sparse Data,,-0.42,Sparse Data,-0.42,15,Less than 100,15.00,(D),Less than 100,,0,Less than 100,0.00,276,100 - 499,276.00
42047,42047,0.90,Sparse Data,0.90,10,10 - 24,10.00,1287,"Less than 10,000",1287.00,54.10,45 - 54,54.10,-0.03,Sparse Data,-0.03,0.93,Sparse Data,0.93,644,"Less than 20,000",644.00,-1.48,Sparse Data,-1.48,(D),Sparse Data,,73,Less than 100,73.00,9,Less than 100,9.00,64,Less than 100,64.00,250,100 - 499,250.00
42049,42049,0.65,Sparse Data,0.65,10,10 - 24,10.00,8132,"Less than 10,000",8132.00,54.33,45 - 54,54.33,-0.48,Sparse Data,-0.48,1.22,Slight Increase,1.22,5498,"Less than 20,000",5498.00,-0.02,Sparse Data,-0.02,-0.56,Sparse Data,-0.56,348,100 - 499,348.00,(D),Less than 100,,296,100 - 499,296.00,1409,"1,000 - 1,499",1409.00
42051,42051,1.42,Slight Increase,1.42,15,10 - 24,15.00,8540,"Less than 10,000",8540.00,51.53,45 - 54,51.53,0.40,Sparse Data,0.40,0.85,Negligible Change,0.85,6234,"Less than 20,000",6234.00,0.36,Sparse Data,0.36,0.37,Sparse Data,0.37,1218,"1,000 - 1,499",1218.00,402,100 - 499,402.00,754,500 - 999,754.00,1080,"1,000 - 1,499",1080.00
42053,42053,-5.57,Sparse Data,-5.57,7,Less than 10,7.00,188,"Less than 10,000",188.00,64.38,55 - 64,64.38,(D),Sparse Data,,(D),Sparse Data,,136,"Less than 20,000",136.00,-2.57,Sparse Data,-2.57,0.72,Sparse Data,0.72,64,Less than 100,64.00,0,Less than 100,0.00,(D),Less than 100,,176,100 - 499,176.00
42055,42055,0.86,Negligible Change,0.86,54,50 or more,54.00,59781,"50,000 - 99,999",59781.00,41.05,35 - 44,41.05,0.67,Negligible Change,0.67,1.41,Slight Increase,1.41,70141,"50,000 - 99,999",70141.00,0.30,Sparse Data,0.30,0.47,Negligible Change,0.47,2827,"2,000 or more",2827.00,466,100 - 499,466.00,2337,"2,000 or more",2337.00,1088,"1,000 - 1,499",1088.00
